bank_to,k_symbol,account_to,account_id,amount,order_id
MN,SIPO,99848401,35,1362.0,29449.0
CD,SIPO,80693810,36,4069.0,29450.0
QR,UVER,71644407,37,5307.5,29451.0
IJ,SIPO,29728555,37,2317.0,29452.0
OP,NULL,23782724,37,2584.0,29453.0
YZ,POJISTNE,89609831,37,97.0,29454.0
QR,UVER,79067885,38,2306.8,29455.0
EF,SIPO,2692229,38,6901.0,29456.0
KL,NULL,83435654,38,231.0,29457.0
OP,POJISTNE,64685678,38,228.0,29458.0
CD,SIPO,77015351,39,145.0,29459.0
WX,SIPO,949460,39,2970.0,29460.0
ST,SIPO,31161588,40,33.0,29461.0
MN,NULL,96111678,40,4301.0,29462.0
CD,SIPO,1007766,42,4239.0,29463.0
KL,NULL,55873340,42,239.0,29464.0
YZ,POJISTNE,38318204,42,1592.0,29465.0
CD,SIPO,89718746,43,6589.0,29466.0
GH,SIPO,11344862,44,2344.0,29467.0
KL,SIPO,76620852,47,6940.0,29470.0
KL,NULL,37438374,47,174.0,29471.0
EF,POJISTNE,83359431,47,141.0,29472.0
UV,NULL,30289006,47,9.0,29473.0
AB,SIPO,50218236,48,6268.0,29474.0
ST,NULL,2071685,48,1029.0,29475.0
CD,SIPO,83233099,49,3102.0,29476.0
WX,SIPO,75148117,50,269.0,29477.0
UV,NULL,17270559,50,7024.0,29478.0
KL,SIPO,71050131,51,2074.0,29479.0
KL,NULL,74449389,51,2057.0,29480.0
EF,SIPO,6008005,52,560.0,29481.0
QR,NULL,85721850,52,3723.0,29482.0
MN,SIPO,81024360,53,2851.0,29483.0
IJ,SIPO,90659772,54,2280.0,29484.0
EF,SIPO,53077900,55,3086.0,29485.0
KL,SIPO,73539948,56,8080.0,29486.0
YZ,SIPO,55066728,57,4107.0,29487.0
IJ,SIPO,38201576,59,695.0,29489.0
ST,NULL,65394794,59,6190.0,29490.0
EF,SIPO,20533621,61,1645.0,29493.0
IJ,SIPO,20426410,61,668.0,29494.0
EF,SIPO,80010622,62,2273.0,29495.0
CD,SIPO,85474604,63,2237.0,29496.0
EF,SIPO,8346772,63,157.0,29497.0
YZ,SIPO,74934333,65,686.0,29498.0
CD,NULL,20976132,65,3315.0,29499.0
GH,POJISTNE,7764506,65,3401.0,29500.0
GH,LEASING,17993182,66,4471.3,29501.0
YZ,UVER,45128363,67,6915.0,29502.0
YZ,SIPO,57342255,67,6393.0,29503.0
UV,NULL,59079301,67,445.0,29504.0
WX,SIPO,86834001,68,1705.0,29505.0
IJ,NULL,8292192,68,1186.0,29506.0
ST,POJISTNE,34692824,68,137.0,29507.0
MN,NULL,92248808,68,61.0,29508.0
KL,SIPO,7699788,70,4150.0,29509.0
YZ,SIPO,53903484,71,968.0,29510.0
IJ,NULL,11544728,71,1602.0,29511.0
OP,POJISTNE,9098768,71,1011.0,29512.0
QR,NULL,34794885,71,778.0,29513.0
OP,LEASING,43079012,72,2923.0,29514.0
EF,SIPO,69338589,72,7109.0,29515.0
ST,NULL,8297068,72,2286.0,29516.0
CD,SIPO,67077487,73,6061.0,29517.0
IJ,SIPO,74818038,75,3369.0,29522.0
MN,SIPO,98325132,76,5208.0,29523.0
ST,LEASING,28454154,77,1709.0,29524.0
WX,SIPO,32111394,78,9039.0,29525.0
CD,SIPO,15471804,79,2788.0,29526.0
IJ,SIPO,85687774,80,2252.0,29527.0
QR,SIPO,18026441,81,1765.0,29528.0
MN,NULL,28429049,81,62.0,29529.0
GH,POJISTNE,62443947,81,229.0,29530.0
AB,SIPO,26468819,83,2210.0,29531.0
EF,NULL,41590857,83,3940.0,29532.0
ST,LEASING,33353132,84,1709.0,29533.0
ST,SIPO,18454540,84,12452.0,29534.0
IJ,SIPO,65366345,85,3831.0,29535.0
OP,LEASING,81823444,85,1792.0,29536.0
WX,SIPO,36292475,86,1002.0,29537.0
MN,NULL,48764252,86,1160.0,29538.0
ST,SIPO,72993069,88,2268.0,29541.0
ST,SIPO,68375611,90,2774.0,29542.0
UV,NULL,90134667,90,2375.0,29543.0
MN,POJISTNE,89044069,90,4372.0,29544.0
YZ,NULL,2028567,90,361.0,29545.0
CD,LEASING,62272125,96,4422.1,29554.0
QR,SIPO,83610647,96,908.0,29555.0
WX,NULL,41707503,96,2140.0,29556.0
EF,POJISTNE,49409562,96,46.0,29557.0
EF,NULL,66311460,96,644.0,29558.0
ST,SIPO,69820374,97,1436.0,29559.0
CD,NULL,33796209,97,2411.0,29560.0
ST,POJISTNE,83123987,97,3.0,29561.0
CD,NULL,94469666,97,15.0,29562.0
MN,UVER,9693319,97,8573.0,29563.0
CD,SIPO,94078754,98,1569.0,29564.0
WX,SIPO,95535426,98,749.0,29565.0
CD,SIPO,38411343,99,4503.0,29566.0
EF,NULL,26847303,99,4682.0,29567.0
UV,SIPO,6381905,100,598.0,29568.0
GH,NULL,16341108,100,7329.0,29569.0
KL,SIPO,10926431,101,8037.0,29570.0
GH,NULL,26152324,101,855.0,29571.0
EF,UVER,24946403,102,7370.2,29572.0
KL,SIPO,63927906,102,3373.0,29573.0
UV,NULL,97521966,102,377.0,29574.0
MN,UVER,2646291,103,7370.2,29575.0
MN,SIPO,82782172,104,578.0,29576.0
ST,NULL,8965999,104,1464.0,29577.0
UV,UVER,58251345,105,7348.0,29578.0
WX,SIPO,46916538,106,3735.0,29579.0
IJ,SIPO,67744958,107,2015.0,29580.0
IJ,NULL,9999049,107,1580.0,29581.0
QR,POJISTNE,80934089,107,959.0,29582.0
CD,SIPO,62673318,108,4803.0,29583.0
OP,SIPO,24390584,110,3050.0,29584.0
YZ,NULL,18149984,110,98.0,29585.0
ST,UVER,14772266,110,4516.0,29586.0
AB,SIPO,41812431,112,2051.0,29589.0
GH,SIPO,11191487,113,3146.0,29590.0
QR,SIPO,78667527,114,1590.0,29591.0
MN,SIPO,90660798,114,533.0,29592.0
EF,SIPO,51975733,115,5110.0,29593.0
KL,SIPO,99229424,116,5529.0,29594.0
ST,LEASING,16828024,116,927.0,29595.0
CD,SIPO,59419953,117,2329.0,29596.0
IJ,SIPO,51605445,118,2449.0,29597.0
ST,SIPO,21662587,119,8252.0,29598.0
YZ,LEASING,74934506,120,1899.0,29599.0
ST,SIPO,36501592,120,3965.0,29600.0
YZ,SIPO,81156724,121,794.0,29601.0
UV,NULL,93935125,121,929.0,29602.0
MN,POJISTNE,91729092,121,393.0,29603.0
KL,SIPO,97764080,123,3016.0,29604.0
IJ,SIPO,11366123,124,447.0,29605.0
OP,NULL,51247948,124,575.0,29606.0
OP,POJISTNE,34663748,124,971.0,29607.0
IJ,LEASING,14166999,125,4422.1,29608.0
WX,SIPO,62923598,126,7384.0,29609.0
YZ,SIPO,11707830,127,2242.0,29610.0
IJ,SIPO,69084489,129,3417.0,29611.0
IJ,SIPO,2152455,130,3969.0,29612.0
UV,SIPO,29374742,131,6904.0,29613.0
WX,UVER,80542558,132,7370.2,29614.0
OP,LEASING,90329002,133,3094.0,29615.0
EF,SIPO,45379865,133,4943.0,29616.0
CD,NULL,30067122,133,5123.0,29617.0
MN,SIPO,78733890,136,2932.0,29618.0
GH,SIPO,71138578,137,3464.0,29619.0
UV,NULL,34738314,137,787.0,29620.0
KL,LEASING,30588215,141,3016.5,29621.0
KL,SIPO,65986662,141,3462.0,29622.0
WX,NULL,71174192,141,1791.0,29623.0
GH,POJISTNE,86448645,141,6716.0,29624.0
YZ,SIPO,23734498,142,1845.0,29625.0
YZ,SIPO,81564402,143,2272.0,29626.0
GH,SIPO,81546359,145,4815.0,29627.0
AB,SIPO,76565843,146,3823.0,29628.0
KL,SIPO,29826498,148,487.0,29631.0
GH,NULL,99004148,148,89.0,29632.0
QR,POJISTNE,85938459,148,1736.0,29633.0
QR,SIPO,2754378,151,411.0,29634.0
KL,NULL,77260404,151,2668.0,29635.0
OP,SIPO,21928644,152,426.0,29636.0
OP,NULL,16610890,152,2993.0,29637.0
UV,SIPO,6886673,153,4544.0,29638.0
MN,SIPO,1314569,154,3891.0,29639.0
KL,SIPO,13971645,155,2988.0,29640.0
QR,SIPO,93965810,156,2030.0,29641.0
AB,SIPO,14697784,157,3991.0,29642.0
ST,SIPO,61129736,158,3420.0,29643.0
GH,SIPO,1882386,159,8694.0,29644.0
QR,SIPO,52787989,160,2374.0,29645.0
ST,NULL,8854127,160,5552.0,29646.0
GH,SIPO,17877823,161,1389.0,29647.0
WX,SIPO,62378322,161,892.0,29648.0
GH,SIPO,1325488,162,3458.0,29649.0
UV,SIPO,86180990,163,3116.0,29650.0
IJ,SIPO,8512616,163,612.0,29651.0
OP,SIPO,71082353,165,1788.0,29652.0
QR,SIPO,26919090,166,3044.0,29653.0
WX,SIPO,47454333,168,2013.0,29654.0
IJ,SIPO,71273207,169,4975.0,29655.0
KL,LEASING,15956706,169,696.0,29656.0
UV,SIPO,5356938,171,3486.0,29657.0
OP,SIPO,11598539,172,4221.0,29658.0
KL,SIPO,95605074,173,6256.0,29659.0
KL,NULL,26238835,173,1428.0,29660.0
CD,POJISTNE,85405385,173,735.0,29661.0
CD,NULL,50065535,173,189.0,29662.0
UV,UVER,38819456,173,8734.0,29663.0
QR,SIPO,73784321,174,2139.0,29664.0
GH,UVER,53236597,176,2288.3,29667.0
AB,SIPO,55640232,176,4564.0,29668.0
OP,NULL,90734010,176,36.0,29669.0
QR,POJISTNE,11736327,176,97.0,29670.0
OP,SIPO,16301811,178,1482.0,29671.0
ST,NULL,1946038,178,505.0,29672.0
UV,SIPO,16450244,179,7615.0,29673.0
IJ,NULL,47684144,179,1066.0,29674.0
AB,POJISTNE,11941713,179,378.0,29675.0
OP,NULL,39081686,179,4608.0,29676.0
KL,SIPO,66975450,181,6780.0,29677.0
AB,SIPO,5552345,183,5202.0,29678.0
GH,NULL,85986530,183,752.0,29679.0
IJ,LEASING,65986150,184,1623.0,29680.0
IJ,SIPO,14592427,185,6526.0,29681.0
GH,SIPO,83964973,186,6862.0,29682.0
UV,SIPO,39898049,187,2798.0,29683.0
AB,SIPO,26629168,188,7426.0,29684.0
GH,SIPO,54808670,189,4244.0,29685.0
OP,NULL,28932172,189,750.0,29686.0
MN,POJISTNE,76972424,189,360.0,29687.0
YZ,SIPO,24279922,190,4519.0,29688.0
WX,NULL,3125066,190,3233.0,29689.0
WX,POJISTNE,5304331,190,42.0,29690.0
YZ,NULL,50605297,190,1316.0,29691.0
YZ,LEASING,89219265,191,4420.9,29692.0
IJ,SIPO,70552640,192,3583.0,29693.0
QR,SIPO,21547550,193,7110.0,29694.0
CD,SIPO,39405787,194,2648.0,29695.0
AB,SIPO,37868559,195,6260.0,29696.0
MN,SIPO,84787642,196,1270.0,29697.0
AB,NULL,90261184,196,4417.0,29698.0
KL,POJISTNE,30200135,196,2554.0,29699.0
IJ,NULL,21173686,196,385.0,29700.0
EF,SIPO,67286312,197,9454.0,29701.0
MN,SIPO,67775189,198,700.0,29702.0
QR,SIPO,64557379,198,2166.0,29703.0
CD,SIPO,15875643,199,1984.0,29704.0
OP,SIPO,34061867,201,9584.0,29705.0
UV,SIPO,59721839,204,1950.0,29711.0
AB,SIPO,99149345,205,4297.0,29712.0
KL,SIPO,75771987,206,2902.0,29713.0
KL,SIPO,71656483,207,403.0,29714.0
GH,NULL,4786676,207,10.0,29715.0
AB,POJISTNE,83722591,207,2726.0,29716.0
AB,SIPO,9118587,208,4148.0,29717.0
CD,NULL,77937751,208,1767.0,29718.0
UV,POJISTNE,98481541,208,986.0,29719.0
OP,NULL,28241002,208,545.0,29720.0
QR,SIPO,17469549,209,483.0,29721.0
EF,NULL,52778792,209,41.0,29722.0
KL,POJISTNE,1601225,209,1796.0,29723.0
IJ,SIPO,24753552,210,7534.0,29724.0
IJ,LEASING,2884138,211,2394.0,29725.0
EF,SIPO,58462047,212,13841.0,29726.0
EF,SIPO,4553950,213,5625.0,29727.0
EF,SIPO,26426023,214,2097.0,29728.0
MN,SIPO,65896379,215,2121.0,29729.0
KL,SIPO,85333066,216,1486.0,29730.0
GH,SIPO,38205874,216,1513.0,29731.0
CD,SIPO,23454666,217,3459.0,29732.0
YZ,LEASING,55710929,217,653.0,29733.0
IJ,LEASING,10956299,218,3182.0,29734.0
GH,SIPO,77167427,219,2336.0,29735.0
OP,NULL,33257001,219,2988.0,29736.0
QR,SIPO,26923066,220,3095.0,29737.0
CD,SIPO,98228793,221,7896.0,29738.0
WX,LEASING,52384513,222,3440.9,29739.0
EF,SIPO,63218277,224,3503.0,29740.0
MN,SIPO,74407583,225,3383.0,29741.0
KL,NULL,93545496,225,2.0,29742.0
UV,SIPO,29971635,226,8928.0,29743.0
GH,UVER,39824432,226,9112.0,29744.0
GH,SIPO,28972292,227,9381.0,29745.0
QR,SIPO,78199761,228,1946.0,29746.0
EF,NULL,26569271,228,2158.0,29747.0
ST,SIPO,55160808,229,2505.0,29748.0
ST,SIPO,66906124,230,5615.0,29749.0
AB,NULL,95935326,230,1527.0,29750.0
KL,POJISTNE,3922403,230,1058.0,29751.0
WX,SIPO,51732343,231,2073.0,29752.0
KL,SIPO,62672704,232,3643.0,29753.0
MN,SIPO,20655334,234,2809.0,29755.0
MN,SIPO,79934978,235,895.0,29756.0
KL,NULL,52539473,235,1321.0,29757.0
AB,SIPO,13233763,237,152.0,29758.0
AB,NULL,58324587,237,1788.0,29759.0
IJ,SIPO,39059901,238,2234.0,29760.0
CD,SIPO,96977406,239,1042.0,29761.0
MN,NULL,30218410,239,5995.0,29762.0
IJ,POJISTNE,47741246,239,152.0,29763.0
WX,SIPO,50178039,240,9621.0,29764.0
OP,LEASING,22710114,240,1050.0,29765.0
QR,SIPO,28285497,241,1344.0,29766.0
MN,NULL,27381342,241,632.0,29767.0
EF,POJISTNE,14364838,241,610.0,29768.0
WX,SIPO,23104387,242,1062.0,29769.0
WX,NULL,62032568,242,2977.0,29770.0
KL,LEASING,55282419,243,1041.0,29771.0
GH,SIPO,73269855,243,3067.0,29772.0
MN,SIPO,74832015,244,2190.0,29773.0
OP,NULL,78948193,244,226.0,29774.0
GH,POJISTNE,7008588,244,232.0,29775.0
YZ,SIPO,8283996,246,1970.0,29776.0
AB,LEASING,15760773,248,2484.9,29780.0
OP,SIPO,26255619,249,5618.0,29781.0
GH,NULL,99770348,249,1876.0,29782.0
WX,SIPO,24246722,250,3066.0,29783.0
AB,SIPO,92959981,251,3059.0,29784.0
CD,SIPO,91842740,252,1767.0,29785.0
WX,SIPO,88934081,255,5323.0,29788.0
ST,LEASING,61510014,257,3816.7,29789.0
GH,SIPO,22533124,257,14166.0,29790.0
KL,SIPO,37360865,258,3737.0,29791.0
MN,SIPO,86616670,259,297.0,29792.0
EF,SIPO,8156723,259,2857.0,29793.0
GH,SIPO,71713226,260,5247.0,29794.0
IJ,SIPO,49824553,261,2182.0,29795.0
ST,NULL,63415229,261,371.0,29796.0
WX,SIPO,73582678,263,6145.0,29797.0
YZ,SIPO,19889706,264,3307.0,29798.0
EF,SIPO,28306174,265,2900.0,29799.0
WX,LEASING,96796440,266,4975.2,29800.0
KL,SIPO,4520118,267,3074.0,29801.0
OP,SIPO,4418570,268,3121.0,29802.0
QR,SIPO,7832789,269,456.0,29803.0
YZ,NULL,55865961,269,1690.0,29804.0
QR,SIPO,95370232,270,5462.0,29805.0
QR,SIPO,67201065,271,1535.0,29806.0
IJ,SIPO,15116119,272,7454.0,29807.0
ST,LEASING,77701490,273,1320.1,29808.0
OP,SIPO,80156594,273,5965.0,29809.0
EF,NULL,85742187,273,178.0,29810.0
YZ,POJISTNE,15870309,273,1836.0,29811.0
ST,SIPO,91567790,274,9886.0,29812.0
CD,SIPO,46536463,275,198.0,29813.0
UV,NULL,60457825,275,2062.0,29814.0
AB,UVER,22070646,276,4470.5,29815.0
EF,SIPO,80801391,276,5212.0,29816.0
ST,LEASING,67316442,277,2682.3,29817.0
IJ,SIPO,93538832,278,3362.0,29818.0
MN,LEASING,5409831,278,676.0,29819.0
EF,SIPO,46485179,279,624.0,29820.0
QR,NULL,68556356,279,1380.0,29821.0
KL,SIPO,10603589,280,3334.0,29822.0
UV,NULL,1495051,280,4694.0,29823.0
QR,LEASING,42263525,280,957.0,29824.0
CD,SIPO,31156671,281,5578.0,29825.0
GH,SIPO,6997305,282,7531.0,29826.0
AB,NULL,4248011,282,802.0,29827.0
OP,SIPO,9780645,283,2802.0,29828.0
EF,SIPO,34219330,284,5629.0,29829.0
UV,LEASING,52409064,285,667.0,29830.0
ST,SIPO,3664666,286,9848.0,29831.0
CD,SIPO,57389086,287,772.0,29832.0
EF,SIPO,36382317,287,1572.0,29833.0
WX,SIPO,29425543,288,3257.0,29834.0
QR,SIPO,97550320,288,207.0,29835.0
AB,SIPO,78823619,289,5745.0,29836.0
OP,NULL,72798836,289,2621.0,29837.0
YZ,UVER,60961633,290,2577.0,29838.0
UV,SIPO,10382223,290,2653.0,29839.0
IJ,NULL,5267882,290,3274.0,29840.0
YZ,LEASING,46721518,291,1941.9,29841.0
EF,SIPO,31507086,291,62.0,29842.0
YZ,NULL,27026367,291,12925.0,29843.0
KL,SIPO,722319,292,1986.0,29844.0
QR,SIPO,11480212,293,1636.0,29845.0
QR,NULL,85708903,293,845.0,29846.0
EF,POJISTNE,34143477,293,1366.0,29847.0
MN,SIPO,91239595,294,5842.0,29848.0
KL,NULL,94949411,294,145.0,29849.0
IJ,POJISTNE,58432865,294,430.0,29850.0
UV,NULL,58291846,294,156.0,29851.0
AB,SIPO,78368478,295,6992.0,29852.0
AB,SIPO,63953745,296,2646.0,29853.0
YZ,SIPO,46045607,300,1628.0,29854.0
IJ,SIPO,99728369,301,1950.0,29855.0
ST,SIPO,12600803,302,3236.0,29856.0
KL,SIPO,43664085,303,3803.0,29857.0
UV,UVER,25709551,303,3132.0,29858.0
AB,SIPO,27760046,304,14367.0,29859.0
ST,SIPO,77063089,305,2953.0,29860.0
IJ,SIPO,70354622,306,3657.0,29861.0
CD,LEASING,17178321,308,1284.0,29862.0
UV,UVER,74396675,309,1901.0,29863.0
CD,SIPO,93944477,311,4777.0,29865.0
WX,NULL,80353498,311,371.0,29866.0
GH,POJISTNE,47159934,311,3375.0,29867.0
YZ,NULL,37490087,311,355.0,29868.0
YZ,UVER,67794364,311,422.0,29869.0
WX,SIPO,31189668,312,7814.0,29870.0
GH,SIPO,6982702,313,2294.0,29871.0
WX,UVER,56231456,314,2785.0,29872.0
KL,SIPO,99187093,314,13691.0,29873.0
MN,UVER,6354302,315,3509.0,29874.0
QR,SIPO,93325268,317,3068.0,29875.0
GH,SIPO,74740838,318,2858.0,29876.0
GH,UVER,41618597,319,6149.5,29877.0
KL,SIPO,87909203,319,1057.0,29878.0
KL,NULL,32717514,319,2196.0,29879.0
AB,POJISTNE,559258,319,416.0,29880.0
UV,SIPO,44067668,321,1876.0,29881.0
ST,SIPO,4537106,322,6550.0,29882.0
GH,SIPO,65761726,323,3025.0,29883.0
OP,SIPO,83596694,324,1785.0,29884.0
KL,SIPO,19554490,324,284.0,29885.0
GH,SIPO,69376104,325,2741.0,29886.0
MN,SIPO,44978225,326,1881.0,29887.0
EF,SIPO,63815659,326,1567.0,29888.0
OP,SIPO,86823993,327,3252.0,29889.0
IJ,NULL,47999680,327,3805.0,29890.0
OP,SIPO,10446250,328,1287.0,29891.0
GH,SIPO,3014916,328,1145.0,29892.0
GH,SIPO,73389369,329,792.0,29893.0
UV,NULL,23747241,329,3110.0,29894.0
OP,UVER,23515820,330,6908.0,29895.0
UV,SIPO,55443829,331,3528.0,29896.0
MN,SIPO,6061673,332,2385.0,29897.0
QR,SIPO,71807402,333,1634.0,29898.0
QR,NULL,42206424,333,72.0,29899.0
AB,POJISTNE,13184309,333,292.0,29900.0
IJ,SIPO,5579948,334,2374.0,29901.0
MN,NULL,37566691,334,1168.0,29902.0
GH,SIPO,80065911,335,2697.0,29903.0
AB,SIPO,40453487,336,4067.0,29904.0
AB,SIPO,37576079,338,2252.0,29905.0
OP,UVER,60226070,339,7801.2,29906.0
WX,SIPO,52391654,339,4087.0,29907.0
IJ,NULL,21728092,339,48.0,29908.0
CD,SIPO,26790029,340,917.0,29909.0
YZ,SIPO,80708729,340,901.0,29910.0
KL,SIPO,44861531,342,2332.0,29911.0
QR,SIPO,15103727,343,2505.0,29912.0
WX,SIPO,47483712,344,4739.0,29913.0
CD,UVER,77219027,344,1683.0,29914.0
QR,SIPO,68522327,345,8819.0,29915.0
KL,SIPO,13685655,346,7875.0,29916.0
CD,UVER,37914210,347,7801.2,29917.0
ST,SIPO,83005469,349,4660.0,29918.0
YZ,UVER,66345286,349,3568.0,29919.0
AB,SIPO,77066629,350,3791.0,29920.0
KL,SIPO,56583434,352,1992.0,29921.0
UV,SIPO,38371622,353,2687.0,29922.0
CD,SIPO,53546470,353,879.0,29923.0
UV,SIPO,38533955,354,4771.0,29924.0
WX,SIPO,5620038,355,5012.0,29925.0
GH,NULL,28271162,355,2927.0,29926.0
GH,SIPO,75963014,356,4188.0,29927.0
EF,SIPO,3304052,357,1788.0,29928.0
IJ,NULL,44572526,357,280.0,29929.0
UV,SIPO,86354624,358,532.0,29930.0
ST,NULL,65233623,358,1434.0,29931.0
ST,POJISTNE,94764554,358,27.0,29932.0
ST,NULL,94047659,358,73.0,29933.0
UV,SIPO,86209541,359,3544.0,29934.0
YZ,SIPO,95369791,361,1941.0,29935.0
ST,NULL,59163767,361,1388.0,29936.0
ST,SIPO,76221531,362,6001.0,29937.0
ST,NULL,91743081,362,292.0,29938.0
EF,POJISTNE,62852764,362,68.0,29939.0
ST,SIPO,39232927,364,2221.0,29940.0
YZ,LEASING,84520810,365,1766.0,29941.0
QR,SIPO,34196335,365,11528.0,29942.0
QR,NULL,93025660,365,1782.0,29943.0
UV,POJISTNE,12044257,365,5.0,29944.0
UV,NULL,89672892,365,9.0,29945.0
IJ,SIPO,75874721,366,2442.0,29946.0
YZ,NULL,11380994,366,1914.0,29947.0
QR,POJISTNE,29283583,366,836.0,29948.0
ST,NULL,68747752,366,3188.0,29949.0
KL,SIPO,59022962,367,6384.0,29950.0
ST,SIPO,13122338,368,4381.0,29951.0
EF,NULL,27974027,368,742.0,29952.0
UV,POJISTNE,35746020,368,269.0,29953.0
YZ,NULL,33245110,368,217.0,29954.0
UV,LEASING,35739392,368,1071.0,29955.0
MN,SIPO,39040500,370,215.0,29959.0
EF,NULL,39893967,370,1188.0,29960.0
KL,POJISTNE,57786190,370,672.0,29961.0
ST,SIPO,65089881,372,7785.0,29962.0
MN,NULL,83496254,372,2148.0,29963.0
OP,SIPO,55648291,373,6452.0,29964.0
KL,SIPO,32626718,375,3824.0,29965.0
IJ,SIPO,32540393,376,7097.0,29966.0
MN,UVER,28203147,378,3840.2,29967.0
KL,SIPO,6934583,378,8537.0,29968.0
AB,NULL,85313254,378,1184.0,29969.0
ST,POJISTNE,70710897,378,2.0,29970.0
KL,NULL,23140502,378,4.0,29971.0
CD,SIPO,35418421,379,1561.0,29972.0
CD,NULL,30392295,379,434.0,29973.0
GH,POJISTNE,42905002,379,177.0,29974.0
IJ,NULL,80296814,379,312.0,29975.0
IJ,SIPO,24703598,382,2235.0,29979.0
OP,NULL,26432061,382,27.0,29980.0
MN,POJISTNE,87132888,382,14.0,29981.0
EF,SIPO,90773456,383,2057.0,29982.0
MN,LEASING,48816210,384,2304.1,29983.0
WX,SIPO,28537345,385,2160.0,29984.0
ST,NULL,91164779,385,31.0,29985.0
GH,POJISTNE,79315310,385,121.0,29986.0
CD,SIPO,39887976,386,4711.0,29987.0
CD,SIPO,48455613,388,6524.0,29988.0
KL,SIPO,8779210,389,884.0,29989.0
WX,NULL,25948596,389,3280.0,29990.0
YZ,SIPO,24210876,390,4977.0,29991.0
GH,SIPO,99824958,392,1407.0,29992.0
WX,NULL,27344715,392,5663.0,29993.0
AB,SIPO,10808188,393,302.0,29994.0
AB,NULL,27135431,393,5920.0,29995.0
YZ,SIPO,55113202,395,3871.0,30001.0
GH,NULL,73209607,395,4036.0,30002.0
WX,LEASING,8607322,395,828.0,30003.0
UV,SIPO,71221321,396,5245.0,30004.0
GH,NULL,26179212,396,68.0,30005.0
OP,POJISTNE,57553499,396,308.0,30006.0
YZ,NULL,33896279,396,261.0,30007.0
IJ,SIPO,60894626,398,1702.0,30008.0
GH,LEASING,54855972,399,3090.5,30009.0
IJ,SIPO,47246265,399,6009.0,30010.0
WX,SIPO,99955695,400,6948.0,30011.0
AB,SIPO,66742342,401,3600.0,30012.0
EF,NULL,88922524,401,1769.0,30013.0
YZ,SIPO,77129357,402,2083.0,30014.0
CD,NULL,98438930,402,2211.0,30015.0
KL,SIPO,15987736,403,2401.0,30016.0
GH,SIPO,68393963,404,1563.0,30017.0
WX,NULL,36616319,404,3450.0,30018.0
EF,LEASING,24659914,405,1339.0,30019.0
MN,SIPO,56718403,405,9632.0,30020.0
WX,NULL,11276412,405,1497.0,30021.0
KL,POJISTNE,1622963,405,3579.0,30022.0
UV,SIPO,36316532,406,1800.0,30023.0
KL,NULL,28461408,406,264.0,30024.0
WX,SIPO,90311783,407,5411.0,30025.0
EF,NULL,32662862,407,14.0,30026.0
QR,SIPO,62073033,408,5042.0,30027.0
QR,SIPO,11262268,409,6810.0,30028.0
WX,SIPO,85225909,410,3825.0,30029.0
QR,SIPO,15704101,411,8499.0,30030.0
WX,SIPO,35379701,412,8727.0,30031.0
CD,SIPO,49738037,413,2107.0,30032.0
AB,SIPO,96403741,414,7870.0,30033.0
OP,SIPO,64789080,415,8740.0,30034.0
ST,SIPO,30481368,416,982.0,30035.0
CD,SIPO,54040610,416,987.0,30036.0
MN,SIPO,92404669,418,9316.0,30037.0
